"Year","State","Process","Status","Measure","Chem","killer","Compound","Coumpound Value","Value","Stats"
"17",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","COPPER HYDROXIDE","23401"," "," "
"18",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","COPPER OCTANOATE","23306"," "," "
"19",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","CYFLUFENAMID","555550","400"," "
"20",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","CYPRODINIL","288202","16,600"," "
"21",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE","128847","900"," "
"22",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FENHEXAMID","90209","15,000"," "
"23",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FLUDIOXONIL","71503","11,100"," "
"24",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FLUOPYRAM","80302","3,900"," "
"25",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FLUXAPYROXAD","138009","3,900"," "
"26",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","FOSETYL-AL","123301","34,200"," "
"27",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","ISOFETAMID","270000"," "," "
"28",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","MEFENOXAM","113502","9,300"," "
"29",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT","76416"," "," "
"30",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","MYCLOBUTANIL","128857","5,600"," "
"31",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","PENTHIOPYRAD","90112","7,000"," "
"32",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT","230000","1,400"," "
"33",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","POTASSIUM BICARBON.","73508","11,300"," "
"34",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","PROPICONAZOLE","122101","1,600"," "
"35",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN","99100","7,400"," "
"36",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","PYRIMETHANIL","288201","9,300"," "
"37",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","QUINOLINE","55459","4,800"," "
"38",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","STREPTOMYCES LYDICUS","6327"," "," "
"39",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","SULFUR","77501","686,000"," "
"40",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","TETRACONAZOLE","120603","600"," "
"41",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","THIOPHANATE-METHYL","102001","3,300"," "
"42",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","THIRAM","79801","90,900"," "
"43",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","TOTAL"," ","1,233,500"," "
"44",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","TRICHODERMA HARZ.","119202"," "," "
"45",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","TRIFLOXYSTROBIN","129112","4,200"," "
"46",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","FUNGICIDE","TRIFLUMIZOLE","128879","7,200"," "
"47",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","CARFENTRAZONE-ETHYL","128712","200"," "
"48",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","FLUMIOXAZIN","129034","1,100"," "
"49",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","GLUFOSINATE-AMMONIUM","128850"," "," "
"50",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE ISO. SALT","103601"," "," "
"51",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE POT. SALT","103613"," "," "
"52",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","NAPROPAMIDE","103001"," "," "
"53",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","OXYFLUORFEN","111601","1,300"," "
"54",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","PARAQUAT","61601"," "," "
"55",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","PENDIMETHALIN","108501","5,500"," "
"56",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","SULFENTRAZONE","129081"," "," "
"57",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","HERBICIDE","TOTAL"," ","10,200"," "
"58",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","ABAMECTIN","122804","500"," "
"59",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","ACEQUINOCYL","6329","5,400"," "
"60",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","ACETAMIPRID","99050","2,800"," "
"61",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","AZADIRACHTIN","121701","800"," "
"62",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BEAUVERIA BASSIANA","128924"," "," "
"63",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BIFENAZATE","586","17,900"," "
"64",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BIFENTHRIN","128825","7,300"," "
"65",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BT KURSTAK ABTS-1857","6523"," "," "
"66",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BT KURSTAKI ABTS-351","6522"," "," "
"67",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BT KURSTAKI SA-11","6519"," "," "
"68",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BT SUB AIZAWAI GC-91","6426"," "," "
"69",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BUPROFEZIN","275100"," "," "
"70",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","BURKHOLDERIA A396 CELLS & MEDIA","6534"," "," "
"71",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CARBARYL","56801"," "," "
"72",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","90100","1,900"," "
"73",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CHLORPYRIFOS","59101"," "," "
"74",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329"," "," "
"75",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CYANTRANILIPROLE","90098","900"," "
"76",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","CYFLUMETOFEN","138831","5,200"," "
"77",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","ETOXAZOLE","107091","1,200"," "
"78",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","FENBUTATIN-OXIDE","104601"," "," "
"79",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","FENPROPATHRIN","127901","6,000"," "
"80",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","FENPYROXIMATE","129131","400"," "
"81",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","FLONICAMID","128016","3,300"," "
"82",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","FLUPYRADIFURONE","122304","4,800"," "
"83",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","HELICOVERPA ZEA NPV","107300"," "," "
"84",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","HEXYTHIAZOX","128849","2,300"," "
"85",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","IMIDACLOPRID","129099","3,500"," "
"86",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","MALATHION","57701","56,700"," "
"87",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","METHOXYFENOZIDE","121027","3,300"," "
"88",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","NALED","34401","12,700"," "
"89",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","NEEM OIL","25006","1,100"," "
"90",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","NEEM OIL"," ","51,600"," "
"91",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","NOVALURON","124002","4,600"," "
"92",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","PIPERONYL BUTOXIDE","67501","1,200"," "
"93",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","POTASSIUM SALTS","79021"," "," "
"94",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","PYRETHRINS","69001","200"," "
"95",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","PYRIDABEN","129105"," "," "
"96",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","PYRIPROXYFEN","129032","100"," "
"97",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","SOYBEAN OIL","31605"," "," "
"98",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","SPINETORAM","110007","2,300"," "
"99",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","SPINOSAD","110003","600"," "
"100",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","SPIROMESIFEN","24875","1,800"," "
"101",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","SULFOXAFLOR","5210","1,000"," "
"102",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","THIAMETHOXAM","60109","1,400"," "
"103",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","TOTAL"," ","212,600"," "
"104",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","INSECTICIDE","ZETA-CYPERMETHRIN","129064"," "," "
"105",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","ACIBENZOLAR-S-METHYL","61402"," "," "
"106",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","AUREOBASIDIUM PULLULANS DSM 14940","46010"," "," "
"107",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","AUREOBASIDIUM PULLULANS DSM 14941","36010"," "," "
"108",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","BT KURSTAKI SA-12","6518"," "," "
"109",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","CAPRIC ACID","128955"," "," "
"110",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","CAPRYLIC ACID","128919"," "," "
"111",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","CHLOROPICRIN","81501","6,146,600"," "
"112",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","DICHLOROPROPENE","29001","1,045,700"," "
"113",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","FLUTRIAFOL","128940","1,700"," "
"114",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","GLIOCLADIUM VIRENS","129000"," "," "
"115",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","HYDROGEN PEROXIDE","595"," "," "
"116",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","IRON PHOSPHATE","34903","100"," "
"117",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","METALDEHYDE","53001"," "," "
"118",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","METAM-POTASSIUM","39002","254,000"," "
"119",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","METAM-SODIUM","39003","244,000"," "
"120",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","PAECILOMYCES FUMOSOR","115002"," "," "
"121",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","PEROXYACETIC ACID","63201"," "," "
"122",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","POTASSIUM SILICATE","72606"," "," "
"123",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","REYNOUTRIA SACHALINE","55809","600"," "
"124",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","TOTAL"," ","7,698,900"," "
"125",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","CHEMICAL","OTHER","TRICHODERMA VIRENS STRAIN G-41","176604"," "," "
"126",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","FERTILIZER"," ","NITROGEN"," ","668,000"," "
"127",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","FERTILIZER"," ","PHOSPHATE"," ","493,000"," "
"128",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","FERTILIZER"," ","POTASH"," ","430,000"," "
"129",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB","FERTILIZER"," ","SULFUR"," ","57,000"," "
"130",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","AZOXYSTROBIN","128810","0.205","AVG"
"131",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS MBI 600","129082"," ","AVG"
"132",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482"," ","AVG"
"133",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS PUMILUS","6485"," ","AVG"
"134",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS SUBT. GB03","129068"," ","AVG"
"135",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS","6479"," ","AVG"
"136",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BLAD","30006","0.482","AVG"
"137",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE","11102","0.023","AVG"
"138",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BOSCALID","128008","0.337","AVG"
"139",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19","6544"," ","AVG"
"140",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CAPTAN","81301","1.739","AVG"
"141",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","COPPER HYDROXIDE","23401"," ","AVG"
"142",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","COPPER OCTANOATE","23306"," ","AVG"
"143",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CYFLUFENAMID","555550","0.023","AVG"
"144",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CYPRODINIL","288202","0.32","AVG"
"145",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE","128847","0.114","AVG"
"146",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FENHEXAMID","90209","0.623","AVG"
"147",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUDIOXONIL","71503","0.213","AVG"
"148",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUOPYRAM","80302","0.113","AVG"
"149",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUXAPYROXAD","138009","0.168","AVG"
"150",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FOSETYL-AL","123301","3.997","AVG"
"151",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","ISOFETAMID","270000"," ","AVG"
"152",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MEFENOXAM","113502","0.493","AVG"
"153",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT","76416"," ","AVG"
"154",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MYCLOBUTANIL","128857","0.106","AVG"
"155",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PENTHIOPYRAD","90112","0.303","AVG"
"156",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT","230000","0.073","AVG"
"157",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","POTASSIUM BICARBON.","73508","2.381","AVG"
"158",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PROPICONAZOLE","122101","0.112","AVG"
"159",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN","99100","0.169","AVG"
"160",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYRIMETHANIL","288201","0.51","AVG"
"161",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","QUINOLINE","55459","0.097","AVG"
"162",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","STREPTOMYCES LYDICUS","6327"," ","AVG"
"163",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","SULFUR","77501","3.656","AVG"
"164",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TETRACONAZOLE","120603","0.039","AVG"
"165",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","THIOPHANATE-METHYL","102001","0.669","AVG"
"166",2019,"CALIFORNIA"," ","BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","THIRAM","79801","2.219","AVG"
