"Year","State","type","Process","Status","Measure","Chem","killer","Compound","Coumpound Value","Value","Stats"
"36",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","FLUDIOXONIL","71503","1,300"," "
"37",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","MEFENOXAM","113502"," "," "
"38",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","METCONAZOLE","125619","400"," "
"39",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT","76416","9,300"," "
"40",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","MYCLOBUTANIL","128857"," "," "
"41",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT","230000"," "," "
"42",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","PROPICONAZOLE","122101","1,000"," "
"43",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","PROTHIOCONAZOLE","113961"," "," "
"44",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN","99100","1,200"," "
"45",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","SULFUR","77501"," "," "
"46",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","TEBUCONAZOLE","128997"," "," "
"47",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","TOTAL"," ","91,400"," "
"48",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","FUNGICIDE","TRICHODERMA HARZ.","119202"," "," "
"49",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","2,4-D"," "," "," "
"50",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","AMMONIUM PELARGONATE","31802"," "," "
"51",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","CLETHODIM","121011"," "," "
"52",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","CLORANSULAM-METHYL","129116"," "," "
"53",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","DIURON","35505","1,700"," "
"54",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","FLUMIOXAZIN","129034","700"," "
"55",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","GLUFOSINATE-AMMONIUM","128850","5,400"," "
"56",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE","417300"," "," "
"57",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE AMM. SALT","103604"," "," "
"58",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE ISO. SALT","103601","7,500"," "
"59",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","GLYPHOSATE POT. SALT","103613"," "," "
"60",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","ORYZALIN","104201","4,000"," "
"61",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","OXYFLUORFEN","111601"," "," "
"62",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","PARAQUAT","61601","2,500"," "
"63",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","PENOXSULAM","119031"," "," "
"64",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","SIMAZINE","80807","3,900"," "
"65",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","HERBICIDE","TOTAL"," ","29,800"," "
"66",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","ACEPHATE","103301"," "," "
"67",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","ACETAMIPRID","99050","200"," "
"68",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","BIFENTHRIN","128825","700"," "
"69",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329"," "," "
"70",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","DIAZINON","57801","2,900"," "
"71",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","ESFENVALERATE","109303"," "," "
"72",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","FLUPYRADIFURONE","122304"," "," "
"73",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","IMIDACLOPRID","129099","900"," "
"74",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","MALATHION","57701","9,800"," "
"75",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","METHOMYL","90301"," "," "
"76",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","PERMETHRIN","109701"," "," "
"77",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","PHOSMET","59201","4,000"," "
"78",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","SPINETORAM","110007","200"," "
"79",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","SPINOSAD","110003","100"," "
"80",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","THIAMETHOXAM","60109"," "," "
"81",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","TOTAL"," ","19,300"," "
"82",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","INSECTICIDE","ZETA-CYPERMETHRIN","129064","300"," "
"83",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","ALKYL. DIM. BENZ. AM","69105"," "," "
"84",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","CUPRAMMONIUM ACETATE","36011"," "," "
"85",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","CYANAMID","14002"," "," "
"86",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","CYTOKININS","116801"," "," "
"87",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","DECYLDIMETHYLOCTYL","69165"," "," "
"88",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","DIDECYL DIM. AMMON.","69166"," "," "
"89",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","DIMETHYLDIOCTYL","69149"," "," "
"90",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","GIBBERELLIC ACID","43801","500"," "
"91",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","INDAZIFLAM","80818"," "," "
"92",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","INDOLEBUTYRIC ACID","46701"," "," "
"93",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","MINERAL OIL","63502"," "," "
"94",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","REYNOUTRIA SACHALINE","55809"," "," "
"95",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","CHEMICAL","OTHER","TOTAL"," ","3,700"," "
"96",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","FERTILIZER"," ","NITROGEN"," ","667,000"," "
"97",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","FERTILIZER"," ","PHOSPHATE"," ","567,000"," "
"98",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","FERTILIZER"," ","POTASH"," ","612,000"," "
"99",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB","FERTILIZER"," ","SULFUR"," ","125,000"," "
"100",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","AZOXYSTROBIN","128810","0.192"," AVG"
"101",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747","16482"," "," AVG"
"102",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BACILLUS SUBTILIS","6479"," "," AVG"
"103",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BORAX DECAHYDRATE","11102"," "," AVG"
"104",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","BOSCALID","128008","0.286"," AVG"
"105",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CALCIUM POLYSULFIDE","76702","4.097"," AVG"
"106",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CAPTAN","81301","1.685"," AVG"
"107",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CHLOROTHALONIL","81901","2.476"," AVG"
"108",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","COPPER CHLORIDE HYD.","23501"," "," AVG"
"109",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","COPPER HYDROXIDE","23401"," "," AVG"
"110",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","COPPER SULFATE","24401"," "," AVG"
"111",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","CYPRODINIL","288202","0.28"," AVG"
"112",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","DIFENOCONAZOLE","128847"," "," AVG"
"113",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FENBUCONAZOLE","129011","0.089"," AVG"
"114",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FENHEXAMID","90209"," "," AVG"
"115",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","FLUDIOXONIL","71503","0.189"," AVG"
"116",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MEFENOXAM","113502"," "," AVG"
"117",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","METCONAZOLE","125619","0.086"," AVG"
"118",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MONO-POTASSIUM SALT","76416","1.554"," AVG"
"119",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","MYCLOBUTANIL","128857"," "," AVG"
"120",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","POLYOXIN D ZINC SALT","230000"," "," AVG"
"121",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PROPICONAZOLE","122101","0.151"," AVG"
"122",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PROTHIOCONAZOLE","113961"," "," AVG"
"123",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","PYRACLOSTROBIN","99100","0.145"," AVG"
"124",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","SULFUR","77501"," "," AVG"
"125",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TEBUCONAZOLE","128997"," "," AVG"
"126",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","FUNGICIDE","TRICHODERMA HARZ.","119202"," "," AVG"
"127",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","2,4-D"," "," "," AVG"
"128",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","AMMONIUM PELARGONATE","31802"," "," AVG"
"129",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","CLETHODIM","121011"," "," AVG"
"130",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","CLORANSULAM-METHYL","129116"," "," AVG"
"131",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","DIURON","35505","1.047"," AVG"
"132",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","FLUMIOXAZIN","129034","0.138"," AVG"
"133",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","GLUFOSINATE-AMMONIUM","128850","0.658"," AVG"
"134",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","GLYPHOSATE","417300"," "," AVG"
"135",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","GLYPHOSATE AMM. SALT","103604"," "," AVG"
"136",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","GLYPHOSATE ISO. SALT","103601","1.217"," AVG"
"137",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","GLYPHOSATE POT. SALT","103613"," "," AVG"
"138",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","ORYZALIN","104201","1.676"," AVG"
"139",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","OXYFLUORFEN","111601"," "," AVG"
"140",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","PARAQUAT","61601","0.467"," AVG"
"141",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","PENOXSULAM","119031"," "," AVG"
"142",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","HERBICIDE","SIMAZINE","80807","1.957"," AVG"
"143",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ACEPHATE","103301"," "," AVG"
"144",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ACETAMIPRID","99050","0.088"," AVG"
"145",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","BIFENTHRIN","128825","0.093"," AVG"
"146",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA","16329"," "," AVG"
"147",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","DIAZINON","57801","0.461"," AVG"
"148",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ESFENVALERATE","109303"," "," AVG"
"149",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","FLUPYRADIFURONE","122304"," "," AVG"
"150",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","IMIDACLOPRID","129099","0.122"," AVG"
"151",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","MALATHION","57701","0.718"," AVG"
"152",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","METHOMYL","90301"," "," AVG"
"153",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PERMETHRIN","109701"," "," AVG"
"154",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","PHOSMET","59201","0.819"," AVG"
"155",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","SPINETORAM","110007","0.058"," AVG"
"156",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","SPINOSAD","110003","0.078"," AVG"
"157",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","THIAMETHOXAM","60109"," "," AVG"
"158",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","INSECTICIDE","ZETA-CYPERMETHRIN","129064","0.025"," AVG"
"159",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","ALKYL. DIM. BENZ. AM","69105"," "," AVG"
"160",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","CUPRAMMONIUM ACETATE","36011"," "," AVG"
"161",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","CYANAMID","14002"," "," AVG"
"162",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","CYTOKININS","116801"," "," AVG"
"163",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","DECYLDIMETHYLOCTYL","69165"," "," AVG"
"164",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","DIDECYL DIM. AMMON.","69166"," "," AVG"
"165",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","DIMETHYLDIOCTYL","69149"," "," AVG"
"166",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","GIBBERELLIC ACID","43801","0.402"," AVG"
"167",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","INDAZIFLAM","80818"," "," AVG"
"168",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","INDOLEBUTYRIC ACID","46701"," "," AVG"
"169",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","MINERAL OIL","63502"," "," AVG"
"170",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","CHEMICAL","OTHER","REYNOUTRIA SACHALINE","55809"," "," AVG"
"171",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","FERTILIZER"," ","NITROGEN"," ","8"," AVG"
"172",2019,"GEORGIA","BEARING","APPLICATIONS","","MEASURED IN LB / ACRE / APPLICATION","FERTILIZER"," ","PHOSPHATE"," ","7"," AVG"
